,rsrc_id,parent_rsrc_id,clndr_id,role_id,shift_id,user_id,pobs_id,guid,rsrc_seq_num,email_addr,employee_code,office_phone,other_phone,rsrc_name,rsrc_short_name,rsrc_title_name,def_qty_per_hr,cost_qty_type,ot_factor,active_flag,auto_compute_act_flag,def_cost_qty_link_flag,ot_flag,curr_id,unit_id,rsrc_type,location_id,rsrc_notes,load_tasks_flag,level_flag,last_checksum
14,13425,13412,12845,,,,,9pj34COCp0egUTHbtU9aLQ,2,,,,,BLOCKWORKS,LAB BLOCKWORKS,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
15,13426,13412,12845,,,,,jFIhbOzaZEOM0XuSv9Wtag,4101,,,,,SIGNAGES,LAB SIGNAGE,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
16,13427,13412,12845,,,,,IWjEL0OKH0q54iVcN6eWTQ,3101,,,,,FF&E,LAB FF&E,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
17,13428,13413,12845,,,,,DroV88FdAkmBuukeQtb49Q,3601,,,,,IRONMONGERY,QTY IRONMONGERY,,1,QT_Hour,0,Y,Y,Y,N,1,1813,RT_Mat,,,,,
18,13429,13412,12845,,,,,PEwDHI+gfEGUdIJ+u6xFGQ,901,,,,,EXCAVATION & BACKFILLING,LAB EXCAV-FILL,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
19,13430,13413,12845,,,,,cFxqzK6j4UeN9zTviSApMQ,3801,,,,,PARTITIONS,QTY PARTITION,,1,QT_Hour,0,Y,Y,Y,N,1,1018,RT_Mat,,,,,
20,13431,13413,12845,,,,,T6uaFY0Wt0Wasidh4ao0PA,1,,,,,BLOCKWORKS,QTY BLOCKWORKS,,1,QT_Hour,0,Y,Y,Y,N,1,414,RT_Mat,,,,,
21,13432,13412,12845,,,,,MOQ5gI5qmkaS8Sw9RJbWLA,4,,,,,WOOD WORK/CASEWORK,LAB CASEWORK,,1,QT_Hour,,Y,Y,Y,N,1,,RT_Labor,,,,,
22,13433,13412,12845,,,,,d0PnSXi7akq8v7cFp/n14A,1,,,,,ANTI-TERMITE,LAB ANTI-TER,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
23,13434,13412,12845,,,,,0xRUWdzlek2Uc0Hj919rcA,3901,,,,,METAL DECKING,LAB METAL DECK,,1,QT_Hour,0,Y,Y,Y,N,1,,RT_Labor,,,,,
